Date,HadCET min,HadCET mean,HadCET max,Load Values England and Wales (MW),London min forecast,London mean  forecast,London max  forecast,Bristol min  forecast,Bristol mean  forecast,Bristol max forecast,Leeds min  forecast,Leeds mean forecast,Leeds max forecast
1/1/2017,4.4,5.2,6,27079.97917,,,,,,,,,
1/2/2017,-0.6,2,4.6,29568.08333,,,,,,,,,
1/3/2017,-1.2,2.7,6.6,34100.54167,,,,,,,,,
1/4/2017,2.2,4.9,7.6,34647.02083,,,,,,,,,
1/5/2017,-3.2,1.2,5.6,36120.77083,,,,,,,,,
1/6/2017,-3.2,2.5,8.2,35610.45833,,,,,,,,,
1/7/2017,2.2,5.9,9.6,31626.25,,,,,,,,,
1/8/2017,6.6,8.1,9.6,30309.66667,,,,,,,,,
1/9/2017,6.8,7.7,8.6,33324.625,,,,,,,,,
1/10/2017,3.9,7.3,10.6,34039.04167,,,,,,,,,
1/11/2017,6,7.5,9.1,32682.79167,,,,,,,,,
1/12/2017,3.2,3.9,4.7,35262.75,,,,,,,,,
1/13/2017,0,2.5,5,34623.9375,,,,,,,,,
1/14/2017,-0.6,2.7,6,31961.1875,,,,,,,,,
1/15/2017,1.6,5.3,9,31350.625,,,,,,,,,
1/16/2017,5,6.4,7.8,35477.8125,,,,,,,,,
1/17/2017,3.3,4.6,6,35871.97917,,,,,,,,,
1/18/2017,2.1,4.2,6.4,36255.89583,,,,,,,,,
1/19/2017,2.4,4.5,6.6,36207.58333,,,,,,,,,
1/20/2017,-0.2,3.2,6.7,35215.66667,,,,,,,,,
1/21/2017,-1.5,1.1,3.6,32867.66667,,,,,,,,,
1/22/2017,-3.1,0.6,4.4,32463.89583,,,,,,,,,
1/23/2017,-2.4,1.3,4.9,36784.16667,,,,,,,,,
1/24/2017,-1.8,3.4,8.6,35951.5,,,,,,,,,
1/25/2017,-0.4,2.6,5.6,36131.04167,,,,,,,,,
1/26/2017,-1.1,-0.1,1,37274.10417,,,,,,,,,
1/27/2017,-3.2,1.7,6.6,36871.60417,,,,,,,,,
1/28/2017,-1,3.5,7.9,31496.3125,,,,,,,,,
1/29/2017,1.1,4,7,31548.22917,,,,,,,,,
1/30/2017,2,4.7,7.4,35173.04167,,,,,,,,,
1/31/2017,4.6,7.4,10.2,35037.9375,,,,,,,,,
2/1/2017,5.5,8.4,11.3,33851.16667,,,,,,,,,
2/2/2017,7.9,9.7,11.5,32107.3125,,,,,,,,,
2/3/2017,5.7,7.7,9.6,32066.04167,,,,,,,,,
2/4/2017,1.3,5,8.7,30181.52083,,,,,,,,,
2/5/2017,1.1,3,4.9,30802.77083,,,,,,,,,
2/6/2017,-2,2.1,6.1,35176.35417,,,,,,,,,
2/7/2017,-0.6,4.9,10.4,34280.375,,,,,,,,,
2/8/2017,1.6,3.2,4.8,35735,,,,,,,,,
2/9/2017,0.7,1.2,1.8,36541.83333,,,,,,,,,
2/10/2017,0.4,1.6,2.9,36374.75,,,,,,,,,
2/11/2017,0.3,1.6,2.8,33108.25,,,,,,,,,
2/12/2017,0.7,2.4,4.1,31237.77083,,,,,,,,,
2/13/2017,1.5,5.5,9.5,32830.54167,,,,,,,,,
2/14/2017,1.9,5.5,9.2,34499.25,,,,,,,,,
2/15/2017,2.9,6.9,10.9,33830.54167,,,,,,,,,
2/16/2017,5.3,7.9,10.5,32243.91667,,,,,,,,,
2/17/2017,6.3,8.9,11.4,32407.85417,,,,,,,,,
2/18/2017,5.2,7.5,9.9,28491.29167,,,,,,,,,
2/19/2017,5.2,8.2,11.2,27863.41667,,,,,,,,,
2/20/2017,7.3,10.7,14.1,30294.97917,,,,,,,,,
2/21/2017,7.5,9.9,12.2,31025.97917,,,,,,,,,
2/22/2017,8.1,10,11.8,30725.02083,,,,,,,,,
2/23/2017,7.4,8.1,8.8,30917.58333,,,,,,,,,
2/24/2017,1.8,5.3,8.9,31515.95833,,,,,,,,,
2/25/2017,3.4,6.6,9.7,28260.89583,,,,,,,,,
2/26/2017,6.9,8.8,10.8,26955.39583,,,,,,,,,
2/27/2017,5.4,6.7,7.9,32410.41667,,,,,,,,,
2/28/2017,0.2,3.4,6.6,33020.41667,,,,,,,,,
3/1/2017,1.3,4.8,8.3,33085.375,,,,,,,,,
3/2/2017,3.6,6.8,9.9,31010.72917,,,,,,,,,
3/3/2017,4.5,7,9.4,32958.66667,,,,,,,,,
3/4/2017,5,8,11.1,28116.85417,,,,,,,,,
3/5/2017,3.9,6.5,9.2,27967.14583,,,,,,,,,
3/6/2017,1.6,5.8,9.9,31961.14583,,,,,,,,,
3/7/2017,2.2,6.3,10.4,32124.10417,,,,,,,,,
3/8/2017,4.8,8.5,12.2,31433.14583,,,,,,,,,
3/9/2017,6.4,9.8,13.1,29628.95833,,,,,,,,,
3/10/2017,5,8.6,12.2,31094.79167,,,,,,,,,
3/11/2017,7.8,10.9,14,27552.625,,,,,,,,,
3/12/2017,8.5,10.4,12.2,26895.08333,,,,,,,,,
3/13/2017,3.7,8.4,13.1,29511.6875,,,,,,,,,
3/14/2017,5.9,10.1,14.4,29782.35417,,,,,,,,,
3/15/2017,3.7,9.5,15.2,29390.72917,,,,,,,,,
3/16/2017,5.7,8.2,10.6,30033.52083,,,,,,,,,
3/17/2017,2.7,7.3,11.8,28919.47917,,,,,,,,,
3/18/2017,6,9.7,13.4,26109.25,,,,,,,,,
3/19/2017,9.5,11.5,13.5,24717.8125,,,,,,,,,
3/20/2017,9.3,10.1,10.9,29394.04167,,,,,,,,,
3/21/2017,2.6,6.2,9.8,28978.79167,,,,,,,,,
3/22/2017,3.2,5.8,8.4,31817.125,,,,,,,,,
3/23/2017,2.3,7,11.7,30312.4375,,,,,,,,,
3/24/2017,3.9,8.4,12.8,29546.04167,,,,,,,,,
3/25/2017,0.5,7.9,15.3,25205.89583,,,,,,,,,
3/26/2017,3.5,9.3,15,23723.10417,,,,,,,,,
3/27/2017,4,8,12,29428.29167,,,,,,,,,
3/28/2017,3.7,9.5,15.4,29652,,,,,,,,,
3/29/2017,6.3,10.2,14.1,29557.5625,,,,,,,,,
3/30/2017,11,15.1,19.2,27557.22917,,,,,,,,,
3/31/2017,10.7,13.4,16.1,26734.9375,,,,,,,,,
4/1/2017,7.6,11.1,14.7,24930.58333,,,,,,,,,
4/2/2017,3.9,9.1,14.2,24051.60417,,,,,,,,,
4/3/2017,3.1,9.4,15.7,27301.58333,,,,,,,,,
4/4/2017,8.3,10.7,13.2,28821.72917,,,,,,,,,
4/5/2017,3.4,7.9,12.4,27827.54167,,,,,,,,,
4/6/2017,2.6,7.9,13.3,27785.04167,,,,,,,,,
4/7/2017,3.5,8,12.6,27354.08333,,,,,,,,,
4/8/2017,1.6,10.6,19.5,23162.16667,,,,,,,,,
4/9/2017,6,13.7,21.4,21322.125,,,,,,,,,
4/10/2017,5.6,8.9,12.2,26409.22917,,,,,,,,,
4/11/2017,3.8,8.7,13.5,26247.91667,,,,,,,,,
4/12/2017,6.3,10,13.7,26601.35417,,,,,,,,,
4/13/2017,4.1,8,11.8,27397.89583,,,,,,,,,
4/14/2017,6,9.6,13.3,24704.5625,,,,,,,,,
4/15/2017,7.1,9.5,12,22127.41667,,,,,,,,,
4/16/2017,5.1,8.8,12.4,22527.95833,,,,,,,,,
4/17/2017,5.7,8.2,10.7,24171.77083,,,,,,,,,
4/18/2017,1.4,6.5,11.7,26464.125,,,,,,,,,
4/19/2017,2.9,7.9,12.8,27456.4375,,,,,,,,,
4/20/2017,6,10,14,28274.39583,,,,,,,,,
4/21/2017,6.9,10.2,13.5,27545.8125,,,,,,,,,
4/22/2017,5.7,10,14.3,23735.20833,,,,,,,,,
4/23/2017,2.9,8.5,14,22982.22917,,,,,,,,,
4/24/2017,4.5,8.3,12.1,27439.64583,,,,,,,,,
4/25/2017,-0.7,4.5,9.7,27763.10417,,,,,,,,,
4/26/2017,0.2,5,9.9,28796.3125,,,,,,,,,
4/27/2017,-0.2,5.5,11.2,29704.3125,,,,,,,,,
4/28/2017,5.1,8.8,12.5,28594.6875,,,,,,,,,
4/29/2017,4,8.8,13.6,24341.70833,,,,,,,,,
4/30/2017,7.9,11.8,15.7,22149.875,,,,,,,,,
5/1/2017,8.2,11.5,14.7,24096.75,,,,,,,,,
5/2/2017,5.3,11,16.8,27255.77083,,,,,,,,,
5/3/2017,4.4,8.9,13.3,27338.83333,,,,,,,,,
5/4/2017,7.8,11.8,15.8,26124.1875,,,,,,,,,
5/5/2017,5.2,10.5,15.9,24995.5625,,,,,,,,,
5/6/2017,6.8,10.1,13.5,24207.64583,,,,,,,,,
5/7/2017,5.9,11.8,17.8,22792.5625,,,,,,,,,
5/8/2017,3.9,8.3,12.7,26693.72917,,,,,,,,,
5/9/2017,5.8,9.3,12.7,27852.5625,,,,,,,,,
5/10/2017,0.6,8.8,17,26235.97917,,,,,,,,,
5/11/2017,4.8,12.4,20.1,26504.47917,,,,,,,,,
5/12/2017,9.5,12.8,16.1,27290.97917,,,,,,,,,
5/13/2017,10.2,13.8,17.3,22290.95833,,,,,,,,,
5/14/2017,9.8,13.9,18,21306.375,,,,,,,,,
