Date,HadCET min,HadCET mean,HadCET max,Load Values England and Wales (MW),London min forecast,London mean  forecast,London max  forecast,Bristol min  forecast,Bristol mean  forecast,Bristol max forecast,Leeds min  forecast,Leeds mean forecast,Leeds max forecast,Covid stringency index
01/01/2017,4.4,5.2,6,27079.97917,,,,,,,,,,
02/01/2017,-0.6,2,4.6,29568.08333,,,,,,,,,,
03/01/2017,-1.2,2.7,6.6,34100.54167,,,,,,,,,,
04/01/2017,2.2,4.9,7.6,34647.02083,,,,,,,,,,
05/01/2017,-3.2,1.2,5.6,36120.77083,,,,,,,,,,
06/01/2017,-3.2,2.5,8.2,35610.45833,,,,,,,,,,
07/01/2017,2.2,5.9,9.6,31626.25,,,,,,,,,,
08/01/2017,6.6,8.1,9.6,30309.66667,,,,,,,,,,
09/01/2017,6.8,7.7,8.6,33324.625,,,,,,,,,,
10/01/2017,3.9,7.3,10.6,34039.04167,,,,,,,,,,
11/01/2017,6,7.5,9.1,32682.79167,,,,,,,,,,
12/01/2017,3.2,3.9,4.7,35262.75,,,,,,,,,,
13/01/2017,0,2.5,5,34623.9375,,,,,,,,,,
14/01/2017,-0.6,2.7,6,31961.1875,,,,,,,,,,
15/01/2017,1.6,5.3,9,31350.625,,,,,,,,,,
16/01/2017,5,6.4,7.8,35477.8125,,,,,,,,,,
17/01/2017,3.3,4.6,6,35871.97917,,,,,,,,,,
18/01/2017,2.1,4.2,6.4,36255.89583,,,,,,,,,,
19/01/2017,2.4,4.5,6.6,36207.58333,,,,,,,,,,
20/01/2017,-0.2,3.2,6.7,35215.66667,,,,,,,,,,
21/01/2017,-1.5,1.1,3.6,32867.66667,,,,,,,,,,
22/01/2017,-3.1,0.6,4.4,32463.89583,,,,,,,,,,
23/01/2017,-2.4,1.3,4.9,36784.16667,,,,,,,,,,
24/01/2017,-1.8,3.4,8.6,35951.5,,,,,,,,,,
25/01/2017,-0.4,2.6,5.6,36131.04167,,,,,,,,,,
26/01/2017,-1.1,-0.1,1,37274.10417,,,,,,,,,,
27/01/2017,-3.2,1.7,6.6,36871.60417,,,,,,,,,,
28/01/2017,-1,3.5,7.9,31496.3125,,,,,,,,,,
29/01/2017,1.1,4,7,31548.22917,,,,,,,,,,
30/01/2017,2,4.7,7.4,35173.04167,,,,,,,,,,
31/01/2017,4.6,7.4,10.2,35037.9375,,,,,,,,,,
01/02/2017,5.5,8.4,11.3,33851.16667,,,,,,,,,,
02/02/2017,7.9,9.7,11.5,32107.3125,,,,,,,,,,
03/02/2017,5.7,7.7,9.6,32066.04167,,,,,,,,,,
04/02/2017,1.3,5,8.7,30181.52083,,,,,,,,,,
05/02/2017,1.1,3,4.9,30802.77083,,,,,,,,,,
06/02/2017,-2,2.1,6.1,35176.35417,,,,,,,,,,
07/02/2017,-0.6,4.9,10.4,34280.375,,,,,,,,,,
08/02/2017,1.6,3.2,4.8,35735,,,,,,,,,,
09/02/2017,0.7,1.2,1.8,36541.83333,,,,,,,,,,
10/02/2017,0.4,1.6,2.9,36374.75,,,,,,,,,,
